Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
74,74,Friday Jun 24,boxscore,LAA,,OAK,L,4,7,,31-43,5,16.0,Dull,Salas,Madson,3:17,N,41356,-----
75,75,Saturday Jun 25,boxscore,LAA,,OAK,L,3,7,,31-44,5,17.0,Overton,Chacin,,3:24,N,40643,------
76,76,Sunday Jun 26,boxscore,LAA,,OAK,W-wo,7,6,,32-44,5,17.0,Street,Hendriks,,3:33,D,36715,+
77,77,Monday Jun 27,boxscore,LAA,,HOU,L,2,4,,32-45,5,18.0,Gregerson,Salas,Harris,3:38,N,36839,-
78,78,Tuesday Jun 28,boxscore,LAA,,HOU,L,1,7,,32-46,5,19.0,Feldman,Lincecum,,3:07,N,38781,--
79,79,Wednesday Jun 29,boxscore,LAA,,HOU,L,4,10,,32-47,5,19.0,Keuchel,Weaver,,3:18,D,36683,---
80,80,Friday Jul 1,boxscore,LAA,@,BOS,L,4,5,,32-48,5,19.5,Wright,Chacin,Kimbrel,3:36,N,37117,----
81,81,Saturday Jul 2,boxscore,LAA,@,BOS,W,21,2,,33-48,5,18.5,Santiago,Buchholz,,3:38,N,36552,+
82,82,Sunday Jul 3,boxscore,LAA,@,BOS,L,5,10,,33-49,5,18.5,O'Sullivan,Shoemaker,,3:52,D,36801,-
83,83,Monday Jul 4,boxscore,LAA,@,TBR,L,2,4,,33-50,5,18.5,Moore,Salas,Garton,3:12,D,14532,--
84,84,Tuesday Jul 5,boxscore,LAA,@,TBR,W,13,5,,34-50,5,18.5,Guerra,Odorizzi,,3:19,N,14896,+
85,85,Wednesday Jul 6,boxscore,LAA,@,TBR,W,7,2,,35-50,5,17.5,Weaver,Smyly,,3:18,N,11267,++
86,86,Thursday Jul 7,boxscore,LAA,@,TBR,W,5,1,,36-50,5,16.5,Santiago,Snell,,3:01,D,14576,+++
87,87,Friday Jul 8,boxscore,LAA,@,BAL,W,9,5,,37-50,4,16.5,Shoemaker,Jimenez,,3:27,N,44317,++++
