Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
69,69,Sunday Jun 19,boxscore,OAK,,LAA,L,0,2,,28-41,5,16.5,Weaver,Surkamp,,2:19,D,22846,--
70,70,Tuesday Jun 21,boxscore,OAK,,MIL,W,5,3,,29-41,5,16.0,Doolittle,Smith,Madson,3:32,N,14810,+
71,71,Wednesday Jun 22,boxscore,OAK,,MIL,L,2,4,,29-42,5,17.0,Guerra,Mengden,Thornburg,2:53,D,13586,-
72,72,Thursday Jun 23,boxscore,OAK,@,LAA,W,5,4,,30-42,5,16.5,Graveman,Lincecum,Doolittle,3:03,N,36412,+
73,73,Friday Jun 24,boxscore,OAK,@,LAA,W,7,4,,31-42,4,15.5,Dull,Salas,Madson,3:17,N,41356,++
74,74,Saturday Jun 25,boxscore,OAK,@,LAA,W,7,3,,32-42,4,15.5,Overton,Chacin,,3:24,N,40643,+++
75,75,Sunday Jun 26,boxscore,OAK,@,LAA,L-wo,6,7,,32-43,4,16.5,Street,Hendriks,,3:33,D,36715,-
76,76,Monday Jun 27,boxscore,OAK,@,SFG,W,8,3,,33-43,4,16.5,Mengden,Samardzija,,2:43,N,41442,+
77,77,Tuesday Jun 28,boxscore,OAK,@,SFG,W,13,11,,34-43,4,16.5,Neal,Lopez,Madson,3:53,N,41730,++
78,78,Wednesday Jun 29,boxscore,OAK,,SFG,W,7,1,,35-43,4,15.5,Manaea,Peavy,,2:44,N,32810,+++
79,79,Thursday Jun 30,boxscore,OAK,,SFG,L,6,12,,35-44,4,15.5,Bumgarner,Overton,,3:43,N,36067,-
80,80,Friday Jul 1,boxscore,OAK,,PIT,L,3,7,,35-45,4,16.5,Locke,Gray,,2:45,N,15710,--
81,81,Saturday Jul 2,boxscore,OAK,,PIT,L,2,4,10,35-46,4,16.5,Nicasio,Coulombe,Melancon,3:19,N,28846,---
82,82,Sunday Jul 3,boxscore,OAK,,PIT,L,3,6,,35-47,4,16.5,Liriano,Mengden,Melancon,3:35,D,21831,----
83,83,Monday Jul 4,boxscore,OAK,@,MIN,W,3,1,,36-47,4,15.5,Graveman,Nolasco,Madson,2:50,D,23100,+
84,84,Tuesday Jul 5,boxscore,OAK,@,MIN,L,4,11,,36-48,4,16.5,Milone,Manaea,,3:08,N,16938,-
85,85,Wednesday Jul 6,boxscore,OAK,@,MIN,L,0,4,,36-49,4,16.5,Santana,Gray,,2:44,D,27657,--
86,86,Thursday Jul 7,boxscore,OAK,@,HOU,W,3,1,,37-49,4,15.5,Hill,Fister,Madson,2:32,N,20933,+
87,87,Friday Jul 8,boxscore,OAK,@,HOU,L-wo,9,10,,37-50,4,16.5,Feliz,Madson,,3:29,N,31438,-
88,88,Saturday Jul 9,boxscore,OAK,@,HOU,W,3,2,,38-50,4,15.5,Graveman,McCullers,Dull,2:52,D,35312,+
89,89,Sunday Jul 10,boxscore,OAK,@,HOU,L-wo,1,2,10,38-51,4,15.5,Harris,Hendriks,,3:05,D,28119,-
